region,Time,sex,edu,agest,prop_out,outmigfinal
11,2010,f,e1,-5,NA,NA
12,2010,f,e1,-5,NA,NA
13,2010,f,e1,-5,NA,NA
14,2010,f,e1,-5,NA,NA
15,2010,f,e1,-5,NA,NA
16,2010,f,e1,-5,NA,NA
17,2010,f,e1,-5,NA,NA
21,2010,f,e1,-5,NA,NA
22,2010,f,e1,-5,NA,NA
23,2010,f,e1,-5,NA,NA
24,2010,f,e1,-5,NA,NA
25,2010,f,e1,-5,NA,NA
26,2010,f,e1,-5,NA,NA
27,2010,f,e1,-5,NA,NA
28,2010,f,e1,-5,NA,NA
29,2010,f,e1,-5,NA,NA
31,2010,f,e1,-5,NA,NA
32,2010,f,e1,-5,NA,NA
33,2010,f,e1,-5,NA,NA
35,2010,f,e1,-5,NA,NA
41,2010,f,e1,-5,NA,NA
42,2010,f,e1,-5,NA,NA
43,2010,f,e1,-5,NA,NA
50,2010,f,e1,-5,NA,NA
51,2010,f,e1,-5,NA,NA
52,2010,f,e1,-5,NA,NA
53,2010,f,e1,-5,NA,NA
11,2015,f,e1,-5,NA,NA
12,2015,f,e1,-5,NA,NA
13,2015,f,e1,-5,NA,NA
14,2015,f,e1,-5,NA,NA
15,2015,f,e1,-5,NA,NA
16,2015,f,e1,-5,NA,NA
17,2015,f,e1,-5,NA,NA
21,2015,f,e1,-5,NA,NA
22,2015,f,e1,-5,NA,NA
23,2015,f,e1,-5,NA,NA
24,2015,f,e1,-5,NA,NA
25,2015,f,e1,-5,NA,NA
26,2015,f,e1,-5,NA,NA
27,2015,f,e1,-5,NA,NA
28,2015,f,e1,-5,NA,NA
29,2015,f,e1,-5,NA,NA
31,2015,f,e1,-5,NA,NA
32,2015,f,e1,-5,NA,NA
33,2015,f,e1,-5,NA,NA
35,2015,f,e1,-5,NA,NA
41,2015,f,e1,-5,NA,NA
42,2015,f,e1,-5,NA,NA
43,2015,f,e1,-5,NA,NA
50,2015,f,e1,-5,NA,NA
51,2015,f,e1,-5,NA,NA
52,2015,f,e1,-5,NA,NA
53,2015,f,e1,-5,NA,NA
11,2020,f,e1,-5,NA,NA
12,2020,f,e1,-5,NA,NA
13,2020,f,e1,-5,NA,NA
14,2020,f,e1,-5,NA,NA
15,2020,f,e1,-5,NA,NA
16,2020,f,e1,-5,NA,NA
17,2020,f,e1,-5,NA,NA
21,2020,f,e1,-5,NA,NA
22,2020,f,e1,-5,NA,NA
23,2020,f,e1,-5,NA,NA
24,2020,f,e1,-5,NA,NA
25,2020,f,e1,-5,NA,NA
26,2020,f,e1,-5,NA,NA
27,2020,f,e1,-5,NA,NA
28,2020,f,e1,-5,NA,NA
29,2020,f,e1,-5,NA,NA
31,2020,f,e1,-5,NA,NA
32,2020,f,e1,-5,NA,NA
33,2020,f,e1,-5,NA,NA
35,2020,f,e1,-5,NA,NA
41,2020,f,e1,-5,NA,NA
42,2020,f,e1,-5,NA,NA
43,2020,f,e1,-5,NA,NA
50,2020,f,e1,-5,NA,NA
51,2020,f,e1,-5,NA,NA
52,2020,f,e1,-5,NA,NA
53,2020,f,e1,-5,NA,NA
11,2025,f,e1,-5,NA,NA
12,2025,f,e1,-5,NA,NA
13,2025,f,e1,-5,NA,NA
14,2025,f,e1,-5,NA,NA
15,2025,f,e1,-5,NA,NA
16,2025,f,e1,-5,NA,NA
17,2025,f,e1,-5,NA,NA
21,2025,f,e1,-5,NA,NA
22,2025,f,e1,-5,NA,NA
23,2025,f,e1,-5,NA,NA
24,2025,f,e1,-5,NA,NA
25,2025,f,e1,-5,NA,NA
26,2025,f,e1,-5,NA,NA
27,2025,f,e1,-5,NA,NA
28,2025,f,e1,-5,NA,NA
29,2025,f,e1,-5,NA,NA
31,2025,f,e1,-5,NA,NA
32,2025,f,e1,-5,NA,NA
33,2025,f,e1,-5,NA,NA
35,2025,f,e1,-5,NA,NA
41,2025,f,e1,-5,NA,NA
42,2025,f,e1,-5,NA,NA
43,2025,f,e1,-5,NA,NA
50,2025,f,e1,-5,NA,NA
51,2025,f,e1,-5,NA,NA
52,2025,f,e1,-5,NA,NA
53,2025,f,e1,-5,NA,NA
11,2030,f,e1,-5,NA,NA
12,2030,f,e1,-5,NA,NA
13,2030,f,e1,-5,NA,NA
14,2030,f,e1,-5,NA,NA
15,2030,f,e1,-5,NA,NA
16,2030,f,e1,-5,NA,NA
17,2030,f,e1,-5,NA,NA
21,2030,f,e1,-5,NA,NA
22,2030,f,e1,-5,NA,NA
23,2030,f,e1,-5,NA,NA
24,2030,f,e1,-5,NA,NA
25,2030,f,e1,-5,NA,NA
26,2030,f,e1,-5,NA,NA
27,2030,f,e1,-5,NA,NA
28,2030,f,e1,-5,NA,NA
29,2030,f,e1,-5,NA,NA
31,2030,f,e1,-5,NA,NA
32,2030,f,e1,-5,NA,NA
33,2030,f,e1,-5,NA,NA
35,2030,f,e1,-5,NA,NA
41,2030,f,e1,-5,NA,NA
42,2030,f,e1,-5,NA,NA
43,2030,f,e1,-5,NA,NA
50,2030,f,e1,-5,NA,NA
51,2030,f,e1,-5,NA,NA
52,2030,f,e1,-5,NA,NA
53,2030,f,e1,-5,NA,NA
11,2035,f,e1,-5,NA,NA
12,2035,f,e1,-5,NA,NA
13,2035,f,e1,-5,NA,NA
14,2035,f,e1,-5,NA,NA
15,2035,f,e1,-5,NA,NA
16,2035,f,e1,-5,NA,NA
17,2035,f,e1,-5,NA,NA
21,2035,f,e1,-5,NA,NA
22,2035,f,e1,-5,NA,NA
23,2035,f,e1,-5,NA,NA
24,2035,f,e1,-5,NA,NA
25,2035,f,e1,-5,NA,NA
26,2035,f,e1,-5,NA,NA
27,2035,f,e1,-5,NA,NA
28,2035,f,e1,-5,NA,NA
29,2035,f,e1,-5,NA,NA
31,2035,f,e1,-5,NA,NA
32,2035,f,e1,-5,NA,NA
33,2035,f,e1,-5,NA,NA
35,2035,f,e1,-5,NA,NA
41,2035,f,e1,-5,NA,NA
42,2035,f,e1,-5,NA,NA
43,2035,f,e1,-5,NA,NA
50,2035,f,e1,-5,NA,NA
51,2035,f,e1,-5,NA,NA
52,2035,f,e1,-5,NA,NA
53,2035,f,e1,-5,NA,NA
11,2040,f,e1,-5,NA,NA
12,2040,f,e1,-5,NA,NA
13,2040,f,e1,-5,NA,NA
14,2040,f,e1,-5,NA,NA
15,2040,f,e1,-5,NA,NA
16,2040,f,e1,-5,NA,NA
17,2040,f,e1,-5,NA,NA
21,2040,f,e1,-5,NA,NA
22,2040,f,e1,-5,NA,NA
23,2040,f,e1,-5,NA,NA
24,2040,f,e1,-5,NA,NA
25,2040,f,e1,-5,NA,NA
26,2040,f,e1,-5,NA,NA
27,2040,f,e1,-5,NA,NA
28,2040,f,e1,-5,NA,NA
29,2040,f,e1,-5,NA,NA
31,2040,f,e1,-5,NA,NA
32,2040,f,e1,-5,NA,NA
33,2040,f,e1,-5,NA,NA
35,2040,f,e1,-5,NA,NA
41,2040,f,e1,-5,NA,NA
42,2040,f,e1,-5,NA,NA
43,2040,f,e1,-5,NA,NA
50,2040,f,e1,-5,NA,NA
51,2040,f,e1,-5,NA,NA
52,2040,f,e1,-5,NA,NA
53,2040,f,e1,-5,NA,NA
11,2045,f,e1,-5,NA,NA
12,2045,f,e1,-5,NA,NA
13,2045,f,e1,-5,NA,NA
14,2045,f,e1,-5,NA,NA
15,2045,f,e1,-5,NA,NA
16,2045,f,e1,-5,NA,NA
17,2045,f,e1,-5,NA,NA
21,2045,f,e1,-5,NA,NA
22,2045,f,e1,-5,NA,NA
23,2045,f,e1,-5,NA,NA
24,2045,f,e1,-5,NA,NA
25,2045,f,e1,-5,NA,NA
26,2045,f,e1,-5,NA,NA
27,2045,f,e1,-5,NA,NA
28,2045,f,e1,-5,NA,NA
29,2045,f,e1,-5,NA,NA
